row_index,op_key,op_label,op_detail,count_in_dataset,smiles_from,smiles_to,image_file
22766,add_atom,add atom,add atom O @ 6,6572,CC(=O)C(C)(C)C,CC(=O)C(C)(C)C=O,case_01_add_atom.png
2039,add_stereo,add stereo,add stereo @ 3,7415,CC(=O)C(C)=O,CC(=O)[C@@H](C)O,case_02_add_stereo.png
62885,form_double_bond,form double bond,form double bond @ 3-4,7491,CC(=O)C(O)C(C)=O,CC(=O)C(=O)C(C)=O,case_03_form_double_bond.png
35547,form_double_ring,form double ring,form double ring @ 2-6,265,CC(=O)CC(C)(C)C,CC1=C(C=O)CCC1,case_04_form_double_ring.png
66185,form_ring,form ring,form ring @ 1-3,6497,O=CCC12CC(C1)C2,CC(=O)C12CC(C1)C2,case_05_form_ring.png
44352,form_triple_bond,form triple bond,form triple bond @ 2-3,9366,CC(=O)C(C)(C)C=O,C#CC(=O)C(C)(C)O,case_06_form_triple_bond.png
2107,remove_add_stereo,remove stereo,remove stereo @ 3,7415,CC(=O)[C@@H](C)O,CC(=O)C(C)=O,case_07_remove_add_stereo.png
62832,remove_form_double_bond,double→single,double→single @ 3-4,7491,CC(=O)C(=O)C(C)=O,CC(=O)C(O)C(C)=O,case_08_remove_form_double_bond.png
47654,remove_form_double_ring,open double ring,open double ring @ 2-4,265,CC1=CC(C)(C)OC1,C1CCC2(CC2)OC1,case_09_remove_form_double_ring.png
66300,remove_form_ring,open ring,open ring @ 1-3,6497,CC(=O)C12CC(C1)C2,O=CCC12CC(C1)C2,case_10_remove_form_ring.png
36908,remove_form_triple_bond,triple→single,triple→single @ 2-3,9366,C#CC(=O)C(C)(C)O,CC(=O)C(C)(C)C=O,case_11_remove_form_triple_bond.png
62845,replace_atom,replace atom,replace atom C→N @ 5,59090,CC(=O)C(=O)C(N)=O,NC(=O)C(=O)C(N)=O,case_12_replace_atom.png
