sweep_param,param_value,average_improvement,success_rate,QED,IntDiv,Morgan
num_simulations,100,-3.4154,89.54,0.3845,0.4707,0.0957
num_simulations,200,-3.4146,90.07,0.3873,0.4321,0.0881
num_simulations,400,-3.4534,89.67,0.3901,0.4302,0.0889
num_simulations,800,-3.5829,90.32,0.3913,0.4252,0.0884
num_simulations,1600,-3.8891,90.95,0.3876,0.3942,0.0850
exploration_weight,0.5,-3.4008,89.88,0.3881,0.4416,0.0918
exploration_weight,1.0,-3.5629,89.21,0.3903,0.4457,0.0890
exploration_weight,1.4,-3.7542,92.02,0.3903,0.3819,0.0890
exploration_weight,2.0,-3.9398,93.36,0.3916,0.3050,0.0787
exploration_weight,3.0,-4.1264,93.28,0.3888,0.2976,0.0705
max_branching,5,-4.0772,91.79,0.3881,0.3604,0.0752
max_branching,10,-3.7277,94.10,0.3959,0.3837,0.0904
max_branching,20,-3.5999,90.25,0.3910,0.4244,0.0880
max_branching,30,-3.5613,90.23,0.3941,0.4291,0.0868
max_depth,2,-2.1164,93.00,0.3896,0.7220,0.2190
max_depth,4,-2.8944,91.51,0.3862,0.6937,0.1314
max_depth,6,-3.2780,92.37,0.3891,0.6615,0.1026
max_depth,8,-3.4683,89.50,0.3897,0.6038,0.0949
max_depth,10,-3.5076,90.64,0.3918,0.5164,0.0920
max_depth,12,-3.5769,90.25,0.3911,0.4327,0.0875
pruning_patience,1,-3.2158,91.30,0.3965,0.5100,0.1001
pruning_patience,2,-3.4967,91.01,0.3934,0.4390,0.0874
pruning_patience,3,-3.5895,90.25,0.3908,0.4314,0.0878
pruning_patience,4,-3.6167,91.70,0.3903,0.4363,0.0859
