table_id,markdown_file,section,row_order,batch_dir,target_prop,direction,source,average_improvement,improved_percentage,average_drug_likeness,intdiv_avg,morgan_similarity_avg,num_simulations,exploration_weight,max_branching,max_depth,pruning_patience
appendix_3_1_lumo_up_num_simulations,mcts_hparam_sensitivity_cross_task_appendix.md,3.1 搜索预算 / LUMO(U),1,batch_optimization_20260413_134936,lumo,increase,part-2,1.1933,85.57,0.4681,0.3745,0.1946,200,,,,
appendix_3_1_lumo_up_num_simulations,mcts_hparam_sensitivity_cross_task_appendix.md,3.1 搜索预算 / LUMO(U),2,batch_optimization_20260413_135641,lumo,increase,part-2,1.2449,85.69,0.4746,0.3789,0.1857,400,,,,
appendix_3_1_lumo_up_num_simulations,mcts_hparam_sensitivity_cross_task_appendix.md,3.1 搜索预算 / LUMO(U),3,batch_optimization_20260413_140631,lumo,increase,part-2,1.3681,83.13,0.4790,0.3778,0.1526,800,,,,
appendix_3_1_homo_down_num_simulations,mcts_hparam_sensitivity_cross_task_appendix.md,3.1 搜索预算 / HOMO(D),1,batch_optimization_20260413_162511,homo,decrease,part-2,-1.5795,94.14,0.3876,0.5085,0.1577,200,,,,
appendix_3_1_homo_down_num_simulations,mcts_hparam_sensitivity_cross_task_appendix.md,3.1 搜索预算 / HOMO(D),2,batch_optimization_20260413_162650,homo,decrease,part-2,-1.5593,93.26,0.3873,0.5140,0.1661,400,,,,
appendix_3_1_homo_down_num_simulations,mcts_hparam_sensitivity_cross_task_appendix.md,3.1 搜索预算 / HOMO(D),3,batch_optimization_20260413_162834,homo,decrease,part-2,-1.5211,93.25,0.3888,0.5519,0.1697,800,,,,
appendix_3_2_lumo_up_exploration_weight,mcts_hparam_sensitivity_cross_task_appendix.md,3.2 探索系数 / LUMO(U),1,batch_optimization_20260413_142447,lumo,increase,part-2,1.2027,85.15,0.4718,0.3787,0.1971,,1.0,,,
appendix_3_2_lumo_up_exploration_weight,mcts_hparam_sensitivity_cross_task_appendix.md,3.2 探索系数 / LUMO(U),2,batch_optimization_20260413_143231,lumo,increase,part-2,1.2158,88.64,0.4727,0.4026,0.1818,,1.4,,,
appendix_3_2_lumo_up_exploration_weight,mcts_hparam_sensitivity_cross_task_appendix.md,3.2 探索系数 / LUMO(U),3,batch_optimization_20260413_140631,lumo,increase,part-2,1.3681,83.13,0.4790,0.3778,0.1526,,2.0,,,
appendix_3_2_homo_down_exploration_weight,mcts_hparam_sensitivity_cross_task_appendix.md,3.2 探索系数 / HOMO(D),1,batch_optimization_20260413_163029,homo,decrease,part-2,-1.5899,94.14,0.3879,0.5056,0.1598,,1.0,,,
appendix_3_2_homo_down_exploration_weight,mcts_hparam_sensitivity_cross_task_appendix.md,3.2 探索系数 / HOMO(D),2,batch_optimization_20260413_163208,homo,decrease,part-2,-1.5630,92.66,0.3887,0.5153,0.1649,,1.4,,,
appendix_3_2_homo_down_exploration_weight,mcts_hparam_sensitivity_cross_task_appendix.md,3.2 探索系数 / HOMO(D),3,batch_optimization_20260413_162834,homo,decrease,part-2,-1.5211,93.25,0.3888,0.5519,0.1697,,2.0,,,
appendix_3_3_lumo_up_max_branching,mcts_hparam_sensitivity_cross_task_appendix.md,3.3 分支宽度 / LUMO(U),1,batch_optimization_20260413_150054,lumo,increase,part-2,1.5173,72.21,0.4865,0.4932,0.1299,,,8,,
appendix_3_3_lumo_up_max_branching,mcts_hparam_sensitivity_cross_task_appendix.md,3.3 分支宽度 / LUMO(U),2,batch_optimization_20260413_140631,lumo,increase,part-2,1.3681,83.13,0.4790,0.3778,0.1526,,,20,,
appendix_3_3_homo_down_max_branching,mcts_hparam_sensitivity_cross_task_appendix.md,3.3 分支宽度 / HOMO(D),1,batch_optimization_20260413_163545,homo,decrease,part-2,-1.4885,90.97,0.3937,0.5848,0.1875,,,8,,
appendix_3_3_homo_down_max_branching,mcts_hparam_sensitivity_cross_task_appendix.md,3.3 分支宽度 / HOMO(D),2,batch_optimization_20260413_162834,homo,decrease,part-2,-1.5211,93.25,0.3888,0.5519,0.1697,,,20,,
appendix_4_1_lumo_down_exploration_weight,mcts_hparam_sensitivity_cross_task_appendix.md,4.1 LUMO(D) 探索系数,1,batch_optimization_20260412_232639,lumo,decrease,part-1,-3.3785,89.88,0.3893,0.4362,0.0919,,0.5,,,
appendix_4_1_lumo_down_exploration_weight,mcts_hparam_sensitivity_cross_task_appendix.md,4.1 LUMO(D) 探索系数,2,batch_optimization_20260412_222529,lumo,decrease,part-1,-3.5700,89.19,0.3902,0.4372,0.0879,,1.0,,,
appendix_4_1_lumo_down_exploration_weight,mcts_hparam_sensitivity_cross_task_appendix.md,4.1 LUMO(D) 探索系数,3,batch_optimization_20260412_222658,lumo,decrease,part-1,-3.9946,93.32,0.3895,0.2832,0.0781,,2.0,,,
appendix_4_1_lumo_down_exploration_weight,mcts_hparam_sensitivity_cross_task_appendix.md,4.1 LUMO(D) 探索系数,4,batch_optimization_20260412_222632,lumo,decrease,part-1,-4.1629,93.06,0.3824,0.3208,0.0712,,3.0,,,
appendix_4_2_lumo_down_max_depth,mcts_hparam_sensitivity_cross_task_appendix.md,4.2 LUMO(D) 搜索深度,1,batch_optimization_20260413_004229,lumo,decrease,part-1,-2.1164,93.00,0.3896,0.7220,0.2190,,,,2,
