source_csv,error_message,calculation_time,homo,lumo,gap,drug_likeness,logP,smiles,type,predicted_value,group_id,improvement,morgan_similarity_to_start,ged_to_start,ged_similarity_to_start
Oc1ncn[nH]1_a453d14c_topK.csv,,2.7144627571105957,-6.906315936979404,0.29402363554985195,7.200339572529256,0.4465187667763586,-0.4897000000000002,Oc1ncn[nH]1,start,-6.674952983856201,Oc1ncn[nH]1_a453d14c_topK.csv,,1.0,0.0,1.0
Oc1ncn[nH]1_a453d14c_topK.csv,,2.75008225440979,-7.811473898538976,-0.3552139274260664,7.456259971112909,0.4813944263199381,-0.05620000000000008,Fc1ncn[nH]1,optimized_1,-8.453834891319275,Oc1ncn[nH]1_a453d14c_topK.csv,-0.9051579615595724,0.45454545454545453,1.0,0.5
Oc1ncn[nH]1_a453d14c_topK.csv,,2.596020460128784,-8.462039370430569,-1.5147518300006322,6.947287540429937,0.45761528545172364,-0.6612000000000002,Fc1nnn[nH]1,optimized_2,-10.076106905937197,Oc1ncn[nH]1_a453d14c_topK.csv,-1.5557234334511651,0.14814814814814814,2.0,0.3333333333333333
Oc1ncn[nH]1_a453d14c_topK.csv,,2.326401472091675,-8.462039370430617,-1.5147518300005638,6.947287540430052,0.45761528545172364,-0.6612000000000002,Fc1nn[n@][nH]1,optimized_3,-10.452635407447817,Oc1ncn[nH]1_a453d14c_topK.csv,-1.5557234334512131,0.14814814814814814,2.0,0.3333333333333333
Oc1ncn[nH]1_a453d14c_topK.csv,,2.326401472091675,-8.462039370430617,-1.5147518300005638,6.947287540430052,0.45761528545172364,-0.6612000000000002,Fc1nn[n@][nH]1,optimized_4,-10.829163908958437,Oc1ncn[nH]1_a453d14c_topK.csv,-1.5557234334512131,0.14814814814814814,2.0,0.3333333333333333
Oc1ncn[nH]1_a453d14c_topK.csv,,2.326401472091675,-8.462039370430617,-1.5147518300005638,6.947287540430052,0.45761528545172364,-0.6612000000000002,Fc1nn[n@][nH]1,optimized_5,-11.205692410469055,Oc1ncn[nH]1_a453d14c_topK.csv,-1.5557234334512131,0.14814814814814814,2.0,0.3333333333333333
Oc1ncn[nH]1_a453d14c_topK.csv,,2.326401472091675,-8.462039370430617,-1.5147518300005638,6.947287540430052,0.45761528545172364,-0.6612000000000002,Fc1nn[n@][nH]1,optimized_6,-11.582220911979675,Oc1ncn[nH]1_a453d14c_topK.csv,-1.5557234334512131,0.14814814814814814,2.0,0.3333333333333333
COCCOC=O_918d16af_topK.csv,,4.57716965675354,-7.092360966618232,-0.5558777288152463,6.536483237802986,0.3659251124599544,-0.19419999999999993,COCCOC=O,start,-7.355237483978271,COCCOC=O_918d16af_topK.csv,,1.0,0.0,1.0
COCCOC=O_918d16af_topK.csv,,4.5547215938568115,-8.140917989057609,-1.5440275471233775,6.596890441934231,0.3770542345773872,0.0605,O=COCCOF,optimized_1,-8.129994869232178,COCCOC=O_918d16af_topK.csv,-1.0485570224393772,0.5238095238095238,1.0,0.5
COCCOC=O_918d16af_topK.csv,,3.876617431640625,-8.463244211715924,-2.497829265734533,5.965414945981392,0.16718021131681834,-0.0504,O=COCOOF,optimized_2,-9.201155424118042,COCCOC=O_918d16af_topK.csv,-1.3708832450976924,0.32,2.0,0.3333333333333333
COCCOC=O_918d16af_topK.csv,,4.984879493713379,-8.774848924718299,-3.040445981871254,5.734402942847043,0.23531479051823023,0.24519999999999997,O=COC(F)OOF,optimized_3,-9.396952137351036,COCCOC=O_918d16af_topK.csv,-1.682487958100067,0.17857142857142858,4.0,0.2
COCCOC=O_918d16af_topK.csv,,6.305650234222412,-8.509250964087336,-2.8249726989007957,5.68427826518654,0.24978163242552703,0.6353,CC(F)(OC=O)OOF,optimized_4,-34.18537186086178,COCCOC=O_918d16af_topK.csv,-1.416889997469104,0.2,6.0,0.14285714285714285
COCCOC=O_918d16af_topK.csv,,6.442268133163452,-8.509250964086851,-2.824972698900917,5.684278265185934,0.24978163242552703,0.6353,[C@H3]C(F)(OC=O)OOF,optimized_5,-59.582952961325645,COCCOC=O_918d16af_topK.csv,-1.416889997468619,0.2,6.0,0.14285714285714285
COCCOC=O_918d16af_topK.csv,,6.442268133163452,-8.509250964086851,-2.824972698900917,5.684278265185934,0.24978163242552703,0.6353,[C@H3]C(F)(OC=O)OOF,optimized_6,-84.98053406178951,COCCOC=O_918d16af_topK.csv,-1.416889997468619,0.2,6.0,0.14285714285714285
CC#CC(C)(C)C_5dc3d91b_topK.csv,,4.8645689487457275,-6.64079744187076,2.0214945165254057,8.662291958396166,0.4047903298811263,2.0558,CC#CC(C)(C)C,start,-6.541617393493652,CC#CC(C)(C)C_5dc3d91b_topK.csv,,1.0,0.0,1.0
