rank	run	task	initial_smiles	best_opt_smiles	full_gain	random_gain	advantage_vs_random	path_len	first_ring_step	last_chain_step	stable_after_first_ring	pre_ring_nonstereo	stereo_steps	form_ring_steps	open_ring_after_first	final_pred_gain	delayed_ring_score	final_only_display_score	selected_nodes	json_path
1	20260413_1536_pilot_mcts	lumo_up	NC(=O)C#CCO	CCOCC1CC1C	3.443908	2.896055	0.547853	9	2	8	0	1	0	3	0	5.210641	7.182190	19.412550	[0, 1, 2, 4, 8, 9]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_1536_pilot_mcts/lumo_up/full/seed42/search/NC(=O)C#CCO_7fd20fbc.json
2	20260413_1536_pilot_mcts	lumo_up	CC(C)(C)CC#N	CCCC1(C)CC1C	1.548930	0.838659	0.710270	5	3	4	0	2	0	2	0	1.673625	8.417146	10.091468	[0, 1, 2, 28, 29]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_1536_pilot_mcts/lumo_up/full/seed42/search/CC(C)(C)CC#N_72f76bcf.json
3	20260413_1536_pilot_mcts	lumo_up	CCO[C@@H](C)CO	C[C@@H]1OCCCO1	0.818041	0.792448	0.025594	5	2	4	0	1	0	2	1	3.101765	4.138516	7.885145	[0, 1, 11, 13, 14]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_1536_pilot_mcts/lumo_up/full/seed42/search/CCO[C@@H](C)CO_5c52cf46.json
4	20260413_1536_pilot_mcts	homo_down	CCO[C@@H](C)CO	FOC1OO[C@H](F)O1	2.091071	2.359439	-0.268368	5	4	3	1	3	0	1	0	-1350.156648	13.476376	7.350815	[0, 1, 2, 3, 5]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_1536_pilot_mcts/homo_down/full/seed42/search/CCO[C@@H](C)CO_bfca787a.json
5	20260413_1536_pilot_mcts	homo_down	COCC(C)(C)O	FC1(F)ON2[O@]C21F	2.984392	0.698964	2.285428	7	2	1	1	1	1	2	0	-2.575342	11.112734	6.730027	[0, 1, 27]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_1536_pilot_mcts/homo_down/full/seed42/search/COCC(C)(C)O_854ef9f1.json
6	20260413_1536_pilot_mcts	lumo_up	C#CC(C)(C)CC	CCC1CC1(C)C	0.680488	0.562011	0.118477	3	1	2	0	0	0	2	0	1.480504	1.075270	4.686564	[0, 1, 2, 3]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_1536_pilot_mcts/lumo_up/full/seed42/search/C#CC(C)(C)CC_285a9fd9.json
7	20260413_1536_pilot_mcts	lumo_up	CC#CC(C)(C)C	CCC1CC1(C)C	0.445077	0.512363	-0.067286	3	1	2	0	0	0	2	0	1.265147	0.691248	4.275318	[0, 1, 2, 3]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_1536_pilot_mcts/lumo_up/full/seed42/search/CC#CC(C)(C)C_573eb261.json
8	20260413_112535	lumo_up	CC#CC(C)(C)C	CCC1CC1(C)C	0.445077	0.574240	-0.129163	3	1	2	0	0	0	2	0	1.265147	0.641746	4.201066	[0, 1, 2, 3]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_112535/lumo_up/full/seed42/search/CC#CC(C)(C)C_8b74f736.json
9	20260413_1536_pilot_mcts	homo_down	C#CCCC#CC	N#CN=[N@@]C1(F)C#C1	1.580742	0.831398	0.749345	10	2	1	0	1	1	1	1	-5.520461	4.980218	2.963807	[0, 1, 14]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_1536_pilot_mcts/homo_down/full/seed42/search/C#CCCC#CC_ee569687.json
10	20260413_1536_pilot_mcts	lumo_up	C#CCOCC	CCO[C@@H]1CC1	1.574478	1.711906	-0.137427	10	1	2	0	0	7	2	0	3.693254	-1.735464	2.294670	[0, 1, 2, 10]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_1536_pilot_mcts/lumo_up/full/seed42/search/C#CCOCC_621c3046.json
11	20260413_1536_pilot_mcts	homo_down	CC#CCCCO	FC#CCC1OO1	0.894606	2.100642	-1.206036	3	2	1	1	1	0	1	0	-2.537065	6.729777	1.268441	[0, 1, 3]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_1536_pilot_mcts/homo_down/full/seed42/search/CC#CCCCO_fc0e5cd9.json
12	20260413_1536_pilot_mcts	homo_down	NC(=O)C#CCO	O=C1C#CC(F)=N1	1.257077	1.257077	0.000000	2	1	0	1	0	0	0	0	-2.585026	5.057077	1.005662	[0, 2]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_1536_pilot_mcts/homo_down/full/seed42/search/NC(=O)C#CCO_aab4fed7.json
13	20260413_1536_pilot_mcts	lumo_up	COCC(C)(C)O	COC1OC1(C)C	0.600640	0.367292	0.233348	1	1	0	1	0	0	1	0	0.204911	4.587319	0.760530	[0, 1]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_1536_pilot_mcts/lumo_up/full/seed42/search/COCC(C)(C)O_35b03cd7.json
14	20260413_1536_pilot_mcts	lumo_up	CCCOCC	CCC1OC1C	0.153590	0.132641	0.020948	1	1	0	1	0	0	1	0	0.080073	3.970349	0.148010	[0, 1]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_1536_pilot_mcts/lumo_up/full/seed42/search/CCCOCC_f1985fa0.json
15	20260413_1536_pilot_mcts	lumo_up	CCC(C)(C)CC	CCC12CC1(C)C2	0.224947	0.313414	-0.088468	2	1	0	1	0	0	2	0	0.484205	3.954172	0.073796	[0, 2]	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_1536_pilot_mcts/lumo_up/full/seed42/search/CCC(C)(C)CC_0b94adb0.json
